source,NR,WR,SR,ER,NER,All India,date
Hydro,139,43,72,30,7,292,31-03-2013
Total,675,820,697,306,28,2526,31-03-2013
Wind Gen(MU),2,19,13,0,0,34,31-03-2013
Hydro,137,43,83,32,5,300,01-04-2013
Total,683,841,706,316,29,2575,01-04-2013
Wind Gen(MU),7,21,19,0,0,48,01-04-2013
Wind Gen(MU),8,25,15,0,0,48,02-04-2013
Total,675,836,709,311,28,2558,02-04-2013
Hydro,136,42,79,29,4,290,02-04-2013
Total,676,835,705,307,28,2551,03-04-2013
Hydro,135,42,80,38,4,299,03-04-2013
Wind Gen(MU),3,22,6,0,0,31,03-04-2013
Total,691,856,711,302,26,2586,04-04-2013
Hydro,133,44,78,38,5,297,04-04-2013
Wind Gen(MU),3,23,15,0,0,42,04-04-2013
Hydro,127,48,87,37,4,303,05-04-2013
Total,673,855,707,305,26,2566,05-04-2013
Wind Gen(MU),2,19,21,0,0,41,05-04-2013
Wind Gen(MU),8,20,34,0,0,61,06-04-2013
Total,678,856,717,311,27,2588,06-04-2013
Hydro,127,40,80,35,4,285,06-04-2013
Hydro,127,33,66,36,4,265,07-04-2013
Wind Gen(MU),13,25,16,0,0,53,07-04-2013
Total,677,842,697,308,27,2552,07-04-2013
Hydro,136,45,71,41,4,298,08-04-2013
Wind Gen(MU),13,18,15,0,0,47,08-04-2013
Total,692,876,715,314,27,2624,08-04-2013
Hydro,137,50,70,44,3,303,09-04-2013
Total,696,876,721,326,28,2647,09-04-2013
Wind Gen(MU),9,16,13,0,0,38,09-04-2013
Hydro,126,47,79,52,3,308,10-04-2013
Total,669,883,717,325,27,2620,10-04-2013
Wind Gen(MU),2,18,18,0,0,39,10-04-2013
Hydro,122,43,75,44,4,289,11-04-2013
Wind Gen(MU),4,19,18,0,0,41,11-04-2013
Total,692,873,709,327,27,2628,11-04-2013
Hydro,123,49,69,39,4,284,12-04-2013
Wind Gen(MU),3,26,9,0,0,39,12-04-2013
Total,699,881,715,320,28,2643,12-04-2013
Wind Gen(MU),2,24,10,0,0,36,13-04-2013
Hydro,121,53,65,35,4,278,13-04-2013
Total,694,874,715,316,28,2626,13-04-2013
Wind Gen(MU),3,23,15,0,0,41,14-04-2013
Total,684,830,717,285,26,2542,14-04-2013
Hydro,124,31,49,35,3,242,14-04-2013
Hydro,134,33,50,46,3,266,15-04-2013
Total,717,878,709,304,24,2632,15-04-2013
Wind Gen(MU),5,32,41,0,0,78,15-04-2013
Wind Gen(MU),15,41,44,0,0,99,16-04-2013
Hydro,140,40,55,31,4,269,16-04-2013
Total,718,880,732,314,27,2671,16-04-2013
Total,729,886,721,302,27,2665,17-04-2013
Hydro,143,45,64,38,5,295,17-04-2013
Wind Gen(MU),7,35,42,0,0,84,17-04-2013
Hydro,143,48,65,40,6,302,18-04-2013
Wind Gen(MU),2,32,38,0,0,72,18-04-2013
Total,723,864,728,295,28,2637,18-04-2013
Total,719,828,718,285,27,2577,19-04-2013
Hydro,137,35,69,33,5,279,19-04-2013
Wind Gen(MU),16,28,24,0,0,68,19-04-2013
Total,716,794,710,273,26,2519,20-04-2013
Wind Gen(MU),15,29,28,0,0,72,20-04-2013
Hydro,135,37,52,27,6,258,20-04-2013
Wind Gen(MU),5,18,17,0,0,39,21-04-2013
Total,681,797,685,265,27,2455,21-04-2013
Hydro,131,31,48,25,5,239,21-04-2013
Total,699,829,701,280,28,2537,22-04-2013
Hydro,133,39,55,34,5,266,22-04-2013
Wind Gen(MU),5,13,14,0,0,31,22-04-2013
Wind Gen(MU),2,14,11,0,0,27,23-04-2013
Total,723,852,705,298,28,2606,23-04-2013
Hydro,137,67,57,37,6,304,23-04-2013
Total,749,870,694,302,28,2642,24-04-2013
Hydro,147,63,67,38,5,319,24-04-2013
Wind Gen(MU),5,23,9,0,0,38,24-04-2013
Wind Gen(MU),5,33,11,0,0,49,25-04-2013
Total,754,862,695,315,27,2653,25-04-2013
Hydro,156,54,58,36,4,307,25-04-2013
Total,748,846,687,313,28,2622,26-04-2013
Hydro,170,39,57,29,5,299,26-04-2013
Wind Gen(MU),5,26,7,0,0,39,26-04-2013
Wind Gen(MU),6,29,10,0,0,46,27-04-2013
Total,748,876,695,332,27,2677,27-04-2013
Hydro,171,40,59,46,4,320,27-04-2013
Hydro,159,30,32,40,4,265,28-04-2013
Wind Gen(MU),7,31,29,0,0,67,28-04-2013
Total,736,865,691,316,27,2635,28-04-2013
Total,767,895,695,328,28,2713,29-04-2013
Hydro,160,39,48,46,5,298,29-04-2013
Wind Gen(MU),5,28,20,0,0,53,29-04-2013
Hydro,167,38,58,51,4,318,30-04-2013
Total,787,902,703,335,28,2754,30-04-2013
