Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date
NER,Mizoram,77,1,1.2,01-01-2015
WR,DD,214,0,4.8,01-01-2015
WR,Goa,383,0,7.3,01-01-2015
WR,Maharashtra,14837,57,315,01-01-2015
WR,MP,5740,0,109.8,01-01-2015
WR,Gujarat,11383,0,246.4,01-01-2015
WR,Chhattisgarh,3052,18,64.6,01-01-2015
WR,DNH,581,0,14,01-01-2015
NR,Chandigarh,224,0,3.8,01-01-2015
NR,HP,1367,0,25.1,01-01-2015
NR,Uttarakhand,1768,0,33.9,01-01-2015
NR,UP,9998,3645,244,01-01-2015
NR,Delhi,4009,0,67.6,01-01-2015
NR,Rajasthan,9810,0,204.9,01-01-2015
NR,Haryana,6025,0,116.8,01-01-2015
NR,J&K,1959,346,37.3,01-01-2015
NR,Punjab,5045,0,93.3,01-01-2015
WR,Essar steel,258,0,5.4,01-01-2015
SR,Andhra Pradesh,5963,0,131.5,01-01-2015
NER,Meghalaya,311,1,5.1,01-01-2015
NER,Manipur,136,2,2.6,01-01-2015
NER,Assam,1210,37,21.8,01-01-2015
NER,Arunachal Pradesh,103,2,1.8,01-01-2015
ER,Sikkim,89,0,1.8,01-01-2015
ER,West Bengal,5888,0,101,01-01-2015
ER,Odisha,3011,0,65.6,01-01-2015
ER,Jharkhand,1012,119,22,01-01-2015
ER,DVC,2243,0,51.8,01-01-2015
ER,Bihar,2679,0,52.2,01-01-2015
SR,Pondy,278,0,5.4,01-01-2015
SR,Tamil Nadu,10621,891,235.5,01-01-2015
SR,Kerala,3288,125,60.9,01-01-2015
SR,Karnataka,7914,300,166.1,01-01-2015
SR,Telangana,6173,300,136.9,01-01-2015
NER,Nagaland,116,3,2.4,01-01-2015
NER,Tripura,208,2,2.7,01-01-2015
NER,Tripura,205,1,3.1,01-01-2016
NER,Manipur,134,1,2.3,01-01-2016
WR,Maharashtra,18950,0,381.7,01-01-2016
WR,MP,9907,0,214.3,01-01-2016
WR,Gujarat,12228,0,261.4,01-01-2016
WR,Chhattisgarh,2992,0,69.2,01-01-2016
NR,Chandigarh,188,0,3.1,01-01-2016
NR,J&K,2242,560,46.7,01-01-2016
WR,Goa,377,0,7.6,01-01-2016
NR,HP,1250,5,22.3,01-01-2016
NR,UP,13251,0,282.3,01-01-2016
NR,Delhi,3482,0,56.3,01-01-2016
NR,Rajasthan,9206,0,199.7,01-01-2016
NR,Haryana,5763,0,105.4,01-01-2016
NR,Punjab,4900,0,91.1,01-01-2016
NER,Nagaland,112,6,1.9,01-01-2016
NR,Uttarakhand,1684,0,29.7,01-01-2016
NER,Meghalaya,253,0,4.5,01-01-2016
WR,DD,237,0,5,01-01-2016
WR,Essar steel,578,0,11.9,01-01-2016
NER,Assam,1340,10,20.5,01-01-2016
NER,Arunachal Pradesh,94,1,2,01-01-2016
ER,Sikkim,84,0,1.4,01-01-2016
ER,West Bengal,5826,0,95,01-01-2016
ER,Odisha,3913,0,75,01-01-2016
ER,Jharkhand,1110,0,23,01-01-2016
WR,DNH,653,0,14.2,01-01-2016
ER,DVC,2439,0,56.1,01-01-2016
SR,Pondy,259,0,6,01-01-2016
SR,Tamil Nadu,12352,0,257.1,01-01-2016
SR,Kerala,3010,0,56.2,01-01-2016
SR,Karnataka,9011,0,183,01-01-2016
SR,Telangana,7591,0,144.3,01-01-2016
SR,Andhra Pradesh,6700,0,141.8,01-01-2016
ER,Bihar,3611,250,62.7,01-01-2016
NER,Mizoram,82,1,1.3,01-01-2016
NER,Tripura,209,1,3.5,01-01-2016
SR,Pondy,288,0,5.9,01-01-2016
SR,Karnataka,8232,600,174.7,01-01-2016
SR,Kerala,3296,0,59.7,01-01-2016
SR,Tamil Nadu,11924,0,254.6,01-01-2016
NER,Nagaland,113,2,1.8,01-01-2016
ER,Bihar,3356,150,66.3,01-01-2016
ER,DVC,2489,0,51.8,01-01-2016
SR,Andhra Pradesh,6520,0,131.3,01-01-2016
ER,Jharkhand,1001,140,22.9,01-01-2016
ER,West Bengal,6281,-5,110.2,01-01-2016
NER,Arunachal Pradesh,105,2,1.8,01-01-2016
NER,Assam,1256,24,21,01-01-2016
NER,Manipur,165,3,2.8,01-01-2016
NER,Meghalaya,281,3,4.8,01-01-2016
NER,Mizoram,89,4,1.4,01-01-2016
ER,Odisha,3588,0,76.5,01-01-2016
WR,Essar steel,513,0,10.7,01-01-2016
SR,Telangana,6258,0,127,01-01-2016
WR,DD,239,0,5.5,01-01-2016
NR,Punjab,5013,0,94.3,01-01-2016
NR,Haryana,5919,0,111.4,01-01-2016
NR,Rajasthan,10256,0,222.2,01-01-2016
NR,Delhi,3768,0,62.3,01-01-2016
WR,DNH,631,0,14.5,01-01-2016
NR,Uttarakhand,1847,0,34.4,01-01-2016
NR,HP,1369,0,24.8,01-01-2016
NR,UP,10770,1055,237,01-01-2016
NR,Chandigarh,216,0,3.7,01-01-2016
WR,Chhattisgarh,3323,96,73.8,01-01-2016
WR,Gujarat,12762,13,273.3,01-01-2016
WR,MP,11019,0,221,01-01-2016
WR,Maharashtra,16999,15,352.4,01-01-2016
WR,Goa,392,0,7.8,01-01-2016
NR,J&K,2028,507,44.6,01-01-2016
WR,Chhattisgarh,3288,0,71.7,01-01-2018
WR,DD,246,0,5.6,01-01-2018
WR,Goa,421,0,9.2,01-01-2018
WR,Maharashtra,19226,0,386.5,01-01-2018
WR,MP,9951,0,223,01-01-2018
WR,Gujarat,13653,0,283.1,01-01-2018
NR,Chandigarh,217,0,3.5,01-01-2018
NER,Nagaland,110,4,2.4,01-01-2018
NR,HP,1501,0,26.5,01-01-2018
NR,Uttarakhand,1943,0,34.5,01-01-2018
NR,UP,14989,0,281.9,01-01-2018
NR,Delhi,3954,0,63.7,01-01-2018
NR,Rajasthan,10127,0,202.8,01-01-2018
NR,Haryana,6101,0,109.4,01-01-2018
NR,J&K,2294,574,46.7,01-01-2018
WR,DNH,670,0,15.9,01-01-2018
NER,Meghalaya,315,0,5.9,01-01-2018
SR,Andhra Pradesh,8193,0,153.6,01-01-2018
NER,Mizoram,109,6,1.7,01-01-2018
NER,Manipur,176,4,2.6,01-01-2018
NER,Assam,1340,29,21.3,01-01-2018
NER,Arunachal Pradesh,134,1,2,01-01-2018
ER,Sikkim,93,0,1.3,01-01-2018
ER,West Bengal,5556,0,87.3,01-01-2018
ER,Odisha,3723,0,68.6,01-01-2018
ER,Jharkhand,1157,0,23.8,01-01-2018
ER,DVC,3294,0,67.1,01-01-2018
ER,Bihar,3881,0,74.4,01-01-2018
SR,Pondy,305,0,5.9,01-01-2018
SR,Tamil Nadu,12719,0,277.3,01-01-2018
SR,Kerala,3353,0,64,01-01-2018
SR,Karnataka,9800,0,197.1,01-01-2018
SR,Telangana,9115,0,184.8,01-01-2018
WR,Essar steel,436,0,8.7,01-01-2018
NR,Punjab,5674,0,105.4,01-01-2018
NER,Tripura,220,4,3.3,01-01-2018
NER,Nagaland,119,0,2.1,01-01-2019
WR,Goa,462,0,9,01-01-2019
WR,Maharashtra,19364,0,385.7,01-01-2019
WR,MP,14002,0,257.8,01-01-2019
WR,Gujarat,14710,0,312.4,01-01-2019
WR,Chhattisgarh,3403,0,75.9,01-01-2019
NR,Chandigarh,240,0,3.8,01-01-2019
WR,DD,257,0,5.8,01-01-2019
NR,J&K,2486,621,51.6,01-01-2019
NR,Uttarakhand,2111,0,37.4,01-01-2019
NR,UP,14437,0,295,01-01-2019
NR,Delhi,4336,0,69.6,01-01-2019
NR,Rajasthan,12538,435,238.3,01-01-2019
NR,Haryana,6444,0,123.4,01-01-2019
NR,Punjab,5508,0,109.2,01-01-2019
NR,HP,1630,0,30.4,01-01-2019
WR,DNH,669,0,15.6,01-01-2019
WR,Essar steel,535,0,10.9,01-01-2019
SR,Andhra Pradesh,7915,0,155.6,01-01-2019
NER,Mizoram,88,0,1.6,01-01-2019
NER,Meghalaya,325,0,6.6,01-01-2019
NER,Manipur,197,0,2.7,01-01-2019
NER,Assam,1321,0,23.2,01-01-2019
NER,Arunachal Pradesh,121,0,2.3,01-01-2019
ER,Sikkim,91,0,1.3,01-01-2019
ER,West Bengal,5863,0,104.7,01-01-2019
ER,Odisha,3832,0,70.5,01-01-2019
ER,Jharkhand,1091,67,25.2,01-01-2019
ER,DVC,3101,0,66.4,01-01-2019
ER,Bihar,4139,0,77.6,01-01-2019
SR,Pondy,339,0,6.8,01-01-2019
SR,Tamil Nadu,13140,0,270,01-01-2019
SR,Kerala,3501,0,68.1,01-01-2019
SR,Telangana,8776,0,178.6,01-01-2019
NER,Tripura,224,0,3.5,01-01-2019
SR,Karnataka,10675,0,199.3,01-01-2019
NR,HP,1722,0,30.1,01-01-2020
NR,Punjab,6057,0,118.8,01-01-2020
NER,Nagaland,121,2,2.2,01-01-2020
NER,Mizoram,98,1,1.7,01-01-2020
NER,Meghalaya,379,0,6.3,01-01-2020
NER,Manipur,193,3,2.4,01-01-2020
NER,Assam,1264,16,21.7,01-01-2020
NER,Arunachal Pradesh,117,2,2.2,01-01-2020
ER,Sikkim,120,0,1.7,01-01-2020
ER,West Bengal,6009,0,106.8,01-01-2020
ER,Odisha,3620,0,66.3,01-01-2020
ER,Jharkhand,1281,0,26.3,01-01-2020
ER,DVC,3060,0,64.6,01-01-2020
ER,Bihar,4424,0,82.9,01-01-2020
SR,Pondy,317,0,6.4,01-01-2020
